Model,Test Data,PSNR,SSIM,MSE
checkpoint_epoch_33_srresnet.pth.tar,BSDS100,27.307,0.745,164.870
checkpoint_epoch_34_srresnet.pth.tar,Set5,31.425,0.893,55.712
checkpoint_epoch_34_srresnet.pth.tar,Set14,28.219,0.789,132.555
checkpoint_epoch_34_srresnet.pth.tar,BSDS100,27.318,0.746,164.378
checkpoint_epoch_35_srresnet.pth.tar,Set5,31.427,0.893,55.647
checkpoint_epoch_35_srresnet.pth.tar,Set14,28.219,0.789,132.480
checkpoint_epoch_35_srresnet.pth.tar,BSDS100,27.321,0.746,164.174
checkpoint_epoch_36_srresnet.pth.tar,Set5,31.429,0.893,55.532
checkpoint_epoch_36_srresnet.pth.tar,Set14,28.219,0.788,132.251
checkpoint_epoch_36_srresnet.pth.tar,BSDS100,27.325,0.745,164.251
checkpoint_epoch_37_srresnet.pth.tar,Set5,31.446,0.893,55.402
checkpoint_epoch_37_srresnet.pth.tar,Set14,28.224,0.789,132.365
checkpoint_epoch_37_srresnet.pth.tar,BSDS100,27.331,0.746,164.004
checkpoint_epoch_38_srresnet.pth.tar,Set5,31.440,0.894,55.273
checkpoint_epoch_38_srresnet.pth.tar,Set14,28.224,0.789,132.316
checkpoint_epoch_38_srresnet.pth.tar,BSDS100,27.323,0.746,164.093
checkpoint_epoch_39_srresnet.pth.tar,Set5,31.463,0.894,55.137
checkpoint_epoch_39_srresnet.pth.tar,Set14,28.249,0.789,131.885
checkpoint_epoch_39_srresnet.pth.tar,BSDS100,27.339,0.746,163.770
checkpoint_epoch_3_srresnet.pth.tar,Set5,30.141,0.865,82.145
checkpoint_epoch_3_srresnet.pth.tar,Set14,27.397,0.766,153.159
checkpoint_epoch_3_srresnet.pth.tar,BSDS100,26.817,0.727,178.413
checkpoint_epoch_40_srresnet.pth.tar,Set5,31.488,0.894,54.726
checkpoint_epoch_40_srresnet.pth.tar,Set14,28.262,0.789,131.536
checkpoint_epoch_40_srresnet.pth.tar,BSDS100,27.339,0.746,163.706
checkpoint_epoch_41_srresnet.pth.tar,Set5,31.495,0.894,54.708
checkpoint_epoch_41_srresnet.pth.tar,Set14,28.265,0.789,131.463
checkpoint_epoch_41_srresnet.pth.tar,BSDS100,27.339,0.746,163.683
checkpoint_epoch_42_srresnet.pth.tar,Set5,31.501,0.894,54.251
checkpoint_epoch_42_srresnet.pth.tar,Set14,28.250,0.790,131.717
checkpoint_epoch_42_srresnet.pth.tar,BSDS100,27.345,0.747,163.525
checkpoint_epoch_43_srresnet.pth.tar,Set5,31.493,0.894,54.781
checkpoint_epoch_43_srresnet.pth.tar,Set14,28.253,0.789,131.939
checkpoint_epoch_43_srresnet.pth.tar,BSDS100,27.338,0.746,163.871
checkpoint_epoch_4_srresnet.pth.tar,Set5,30.325,0.869,77.151
checkpoint_epoch_4_srresnet.pth.tar,Set14,27.521,0.769,149.842
checkpoint_epoch_4_srresnet.pth.tar,BSDS100,26.887,0.729,176.416
checkpoint_epoch_5_srresnet.pth.tar,Set5,30.434,0.873,74.979
checkpoint_epoch_5_srresnet.pth.tar,Set14,27.589,0.771,148.113
checkpoint_epoch_5_srresnet.pth.tar,BSDS100,26.909,0.731,175.688
checkpoint_epoch_6_srresnet.pth.tar,Set5,30.564,0.876,71.604
checkpoint_epoch_6_srresnet.pth.tar,Set14,27.688,0.774,145.600
checkpoint_epoch_6_srresnet.pth.tar,BSDS100,26.977,0.733,173.849
checkpoint_epoch_7_srresnet.pth.tar,Set5,30.630,0.878,70.641
checkpoint_epoch_7_srresnet.pth.tar,Set14,27.745,0.775,144.166
checkpoint_epoch_7_srresnet.pth.tar,BSDS100,27.007,0.734,173.145
checkpoint_epoch_8_srresnet.pth.tar,Set5,30.722,0.879,68.432
checkpoint_epoch_8_srresnet.pth.tar,Set14,27.795,0.776,143.012
checkpoint_epoch_8_srresnet.pth.tar,BSDS100,27.043,0.735,172.100
checkpoint_epoch_9_srresnet.pth.tar,Set5,30.731,0.880,68.018
checkpoint_epoch_9_srresnet.pth.tar,Set14,27.813,0.777,142.232
checkpoint_epoch_9_srresnet.pth.tar,BSDS100,27.037,0.736,172.006
