Model,Test Data,PSNR,SSIM,MSE
checkpoint_epoch_2_srresnet.pth.tar,BSDS100,26.851,0.727,177.811
checkpoint_epoch_30_srresnet.pth.tar,Set5,31.523,0.895,53.911
checkpoint_epoch_30_srresnet.pth.tar,Set14,28.276,0.789,131.629
checkpoint_epoch_30_srresnet.pth.tar,BSDS100,27.343,0.746,163.727
checkpoint_epoch_31_srresnet.pth.tar,Set5,31.506,0.894,54.696
checkpoint_epoch_31_srresnet.pth.tar,Set14,28.266,0.788,131.705
checkpoint_epoch_31_srresnet.pth.tar,BSDS100,27.341,0.745,163.842
checkpoint_epoch_32_srresnet.pth.tar,Set5,31.509,0.895,53.814
checkpoint_epoch_32_srresnet.pth.tar,Set14,28.264,0.789,131.847
checkpoint_epoch_32_srresnet.pth.tar,BSDS100,27.342,0.747,163.671
checkpoint_epoch_33_srresnet.pth.tar,Set5,31.530,0.895,54.215
checkpoint_epoch_33_srresnet.pth.tar,Set14,28.281,0.789,131.572
checkpoint_epoch_33_srresnet.pth.tar,BSDS100,27.344,0.745,163.635
checkpoint_epoch_34_srresnet.pth.tar,Set5,31.544,0.895,53.727
checkpoint_epoch_34_srresnet.pth.tar,Set14,28.281,0.789,131.133
checkpoint_epoch_34_srresnet.pth.tar,BSDS100,27.348,0.746,163.415
checkpoint_epoch_35_srresnet.pth.tar,Set5,31.538,0.895,53.723
checkpoint_epoch_35_srresnet.pth.tar,Set14,28.281,0.790,131.069
checkpoint_epoch_35_srresnet.pth.tar,BSDS100,27.353,0.746,163.272
checkpoint_epoch_36_srresnet.pth.tar,Set5,31.586,0.896,52.935
checkpoint_epoch_36_srresnet.pth.tar,Set14,28.306,0.790,130.489
checkpoint_epoch_36_srresnet.pth.tar,BSDS100,27.372,0.747,162.935
checkpoint_epoch_37_srresnet.pth.tar,Set5,31.624,0.896,52.860
checkpoint_epoch_37_srresnet.pth.tar,Set14,28.310,0.791,130.538
checkpoint_epoch_37_srresnet.pth.tar,BSDS100,27.375,0.747,162.514
checkpoint_epoch_3_srresnet.pth.tar,Set5,30.354,0.872,75.743
checkpoint_epoch_3_srresnet.pth.tar,Set14,27.553,0.770,148.658
checkpoint_epoch_3_srresnet.pth.tar,BSDS100,26.921,0.731,175.446
checkpoint_epoch_4_srresnet.pth.tar,Set5,30.591,0.877,71.131
checkpoint_epoch_4_srresnet.pth.tar,Set14,27.706,0.774,145.274
checkpoint_epoch_4_srresnet.pth.tar,BSDS100,26.993,0.733,173.476
checkpoint_epoch_5_srresnet.pth.tar,Set5,30.672,0.878,69.119
checkpoint_epoch_5_srresnet.pth.tar,Set14,27.747,0.774,144.206
checkpoint_epoch_5_srresnet.pth.tar,BSDS100,27.016,0.733,173.034
checkpoint_epoch_6_srresnet.pth.tar,Set5,30.746,0.880,67.349
checkpoint_epoch_6_srresnet.pth.tar,Set14,27.803,0.777,142.980
checkpoint_epoch_6_srresnet.pth.tar,BSDS100,27.048,0.736,171.965
checkpoint_epoch_7_srresnet.pth.tar,Set5,30.829,0.882,65.609
checkpoint_epoch_7_srresnet.pth.tar,Set14,27.851,0.777,141.774
checkpoint_epoch_7_srresnet.pth.tar,BSDS100,27.083,0.736,171.007
checkpoint_epoch_8_srresnet.pth.tar,Set5,30.903,0.883,64.449
checkpoint_epoch_8_srresnet.pth.tar,Set14,27.909,0.778,140.226
checkpoint_epoch_8_srresnet.pth.tar,BSDS100,27.113,0.737,170.386
checkpoint_epoch_9_srresnet.pth.tar,Set5,30.951,0.884,62.763
checkpoint_epoch_9_srresnet.pth.tar,Set14,27.952,0.780,139.330
checkpoint_epoch_9_srresnet.pth.tar,BSDS100,27.140,0.738,169.543
