Model,Test Data,PSNR,SSIM
checkpoint_epoch_36_srresnet.pth.tar,BSDS100,27.325,0.745
checkpoint_epoch_37_srresnet.pth.tar,Set5,31.446,0.893
checkpoint_epoch_37_srresnet.pth.tar,Set14,28.224,0.789
checkpoint_epoch_37_srresnet.pth.tar,BSDS100,27.331,0.746
checkpoint_epoch_38_srresnet.pth.tar,Set5,31.440,0.894
checkpoint_epoch_38_srresnet.pth.tar,Set14,28.224,0.789
checkpoint_epoch_38_srresnet.pth.tar,BSDS100,27.323,0.746
checkpoint_epoch_39_srresnet.pth.tar,Set5,31.463,0.894
checkpoint_epoch_39_srresnet.pth.tar,Set14,28.249,0.789
checkpoint_epoch_39_srresnet.pth.tar,BSDS100,27.339,0.746
checkpoint_epoch_3_srresnet.pth.tar,Set5,30.141,0.865
checkpoint_epoch_3_srresnet.pth.tar,Set14,27.397,0.766
checkpoint_epoch_3_srresnet.pth.tar,BSDS100,26.817,0.727
checkpoint_epoch_40_srresnet.pth.tar,Set5,31.488,0.894
checkpoint_epoch_40_srresnet.pth.tar,Set14,28.262,0.789
checkpoint_epoch_40_srresnet.pth.tar,BSDS100,27.339,0.746
checkpoint_epoch_41_srresnet.pth.tar,Set5,31.495,0.894
checkpoint_epoch_41_srresnet.pth.tar,Set14,28.265,0.789
checkpoint_epoch_41_srresnet.pth.tar,BSDS100,27.339,0.746
checkpoint_epoch_42_srresnet.pth.tar,Set5,31.501,0.894
checkpoint_epoch_42_srresnet.pth.tar,Set14,28.250,0.790
checkpoint_epoch_42_srresnet.pth.tar,BSDS100,27.345,0.747
checkpoint_epoch_43_srresnet.pth.tar,Set5,31.493,0.894
checkpoint_epoch_43_srresnet.pth.tar,Set14,28.253,0.789
checkpoint_epoch_43_srresnet.pth.tar,BSDS100,27.338,0.746
checkpoint_epoch_4_srresnet.pth.tar,Set5,30.325,0.869
checkpoint_epoch_4_srresnet.pth.tar,Set14,27.521,0.769
checkpoint_epoch_4_srresnet.pth.tar,BSDS100,26.887,0.729
checkpoint_epoch_5_srresnet.pth.tar,Set5,30.434,0.873
checkpoint_epoch_5_srresnet.pth.tar,Set14,27.589,0.771
checkpoint_epoch_5_srresnet.pth.tar,BSDS100,26.909,0.731
checkpoint_epoch_6_srresnet.pth.tar,Set5,30.564,0.876
checkpoint_epoch_6_srresnet.pth.tar,Set14,27.688,0.774
checkpoint_epoch_6_srresnet.pth.tar,BSDS100,26.977,0.733
checkpoint_epoch_7_srresnet.pth.tar,Set5,30.630,0.878
checkpoint_epoch_7_srresnet.pth.tar,Set14,27.745,0.775
checkpoint_epoch_7_srresnet.pth.tar,BSDS100,27.007,0.734
checkpoint_epoch_8_srresnet.pth.tar,Set5,30.722,0.879
checkpoint_epoch_8_srresnet.pth.tar,Set14,27.795,0.776
checkpoint_epoch_8_srresnet.pth.tar,BSDS100,27.043,0.735
checkpoint_epoch_9_srresnet.pth.tar,Set5,30.731,0.880
checkpoint_epoch_9_srresnet.pth.tar,Set14,27.813,0.777
checkpoint_epoch_9_srresnet.pth.tar,BSDS100,27.037,0.736
